PRJNA766133,SRR16323535
PRJNA766133,SRR16323536
PRJNA766133,SRR16323537
PRJNA766133,SRR16323538
PRJNA766133,SRR16323544
PRJNA766133,SRR16323555
PRJNA766133,SRR16323566
PRJNA766133,SRR16323569
PRJNA766133,SRR16323570
PRJNA766133,SRR16323571
PRJNA766133,SRR16323572
PRJNA766133,SRR16323573
PRJNA766133,SRR16323574
PRJNA766133,SRR16323575
PRJNA766133,SRR16323576
PRJNA766133,SRR16323577
PRJNA766133,SRR16323578
PRJNA766133,SRR16323579
PRJNA766133,SRR16323580
PRJNA766133,SRR16323581
PRJNA766133,SRR16323582
PRJNA766133,SRR16323583
PRJNA766133,SRR16323584
PRJNA766133,SRR16323585
PRJNA766133,SRR16323586
PRJNA766133,SRR16323587
PRJNA766133,SRR16323588
PRJNA766133,SRR16323589
PRJNA776705,SRR16686516
PRJNA756323,SRR15530465
PRJNA756323,SRR15530466
PRJNA756323,SRR15530467
PRJNA756323,SRR15530468
PRJNA756323,SRR15530469
PRJNA756323,SRR15530470
PRJNA756323,SRR15530471
PRJNA756323,SRR15530472
PRJNA756323,SRR15530473
PRJNA756323,SRR15530474
PRJNA756323,SRR15530475
PRJNA756323,SRR15530476
PRJNA756323,SRR15530477
PRJNA756323,SRR15530478
PRJNA756323,SRR15530479
PRJNA756323,SRR15530480
PRJNA366481,SRR6201558
PRJNA366555,SRR6201607
PRJNA366524,SRR6201609
PRJNA366386,SRR6201611
PRJNA366485,SRR6201613
PRJNA366675,SRR6201619
PRJNA366674,SRR6201692
PRJNA366673,SRR6201693
PRJNA366504,SRR6201695
PRJNA366515,SRR6201696
PRJNA366518,SRR6201714
PRJNA366523,SRR6201715
PRJNA366537,SRR6201716
PRJNA366672,SRR6201718
PRJNA366517,SRR6201720
PRJNA366483,SRR6201721
PRJNA366384,SRR6201722
PRJNA366390,SRR6201723
PRJNA366383,SRR6201724
PRJNA366502,SRR6201726
PRJNA366671,SRR6201728
PRJNA366670,SRR6201731
PRJNA366381,SRR6201732
PRJNA366501,SRR6201733
PRJNA366337,SRR6207170
PRJNA365944,SRR5262319
PRJNA365943,SRR5262320
PRJNA365945,SRR5262368
PRJNA365946,SRR5262369
PRJNA365957,SRR5265131
PRJNA365958,SRR5265132
PRJNA365959,SRR5265133
PRJNA365961,SRR5265135
PRJNA365960,SRR5265136
PRJNA365962,SRR5265137
PRJNA365964,SRR5265138
PRJNA365966,SRR5266159
PRJNA366968,SRR5266509
PRJNA366969,SRR5266511
PRJNA366970,SRR5266605
PRJNA366972,SRR5266612
PRJNA366973,SRR5266613
PRJNA366971,SRR5266614
PRJNA366974,SRR5268549
PRJNA366975,SRR5268550
PRJNA366976,SRR5268667
PRJNA366995,SRR5271171
PRJNA420897,SRR6344681
PRJNA420897,SRR6344682
PRJNA420897,SRR6344683
PRJNA420897,SRR6344684
PRJNA420897,SRR6344685
PRJNA420897,SRR6344686
PRJNA420897,SRR6344687
PRJNA420897,SRR6344688
PRJNA420897,SRR6344689
PRJNA420897,SRR6344690
PRJNA420897,SRR6344691
PRJNA420897,SRR6344692
PRJNA420897,SRR6344693
PRJNA420897,SRR6344694
PRJNA420897,SRR6344695
PRJNA420897,SRR6344696
PRJNA420897,SRR6344697
PRJNA420897,SRR6344698
PRJNA420897,SRR6344699
PRJNA420897,SRR6344700
PRJNA420897,SRR6344701
PRJNA420897,SRR6344702
PRJNA420897,SRR6344703
PRJNA420897,SRR6344704
PRJNA420897,SRR6344705
PRJNA420897,SRR6344706
PRJNA420897,SRR6344707
PRJNA420897,SRR6344708
PRJNA420897,SRR6344709
PRJNA420897,SRR6344710
PRJNA420897,SRR6344711
PRJNA420897,SRR6344712
PRJNA420897,SRR6344713
PRJNA420897,SRR6344714
PRJNA420897,SRR6344715
PRJNA420897,SRR6344716
PRJNA420897,SRR6344717
PRJNA420897,SRR6344718
PRJNA420897,SRR6344719
